label,mean_intensity,frame
1,1.918403669,0
2,6.718972417,0
3,0.604209967,0
4,2.142553771,0
5,3.419815141,0
6,6.74331341,0
7,3.860635974,0
8,5.786530884,0
9,0.939973203,0
10,1.540755403,0
11,0.720328768,0
12,4.013734155,0
13,2.068859951,0
14,2.236190322,0
15,5.590078572,0
16,3.435811036,0
17,6.523326301,0
18,5.725666173,0
19,4.986951655,0
20,6.62845145,0
21,5.076524581,0
22,6.695377087,0
23,4.477620155,0
24,5.677269133,0
25,2.513997631,0
26,2.945911637,0
27,4.820755959,0
28,4.642284967,0
29,3.272771473,0
30,4.382420124,0
1,1.953708828,1
2,6.704211683,1
3,0.621570871,1
4,2.139684332,1
5,3.464900273,1
6,6.81600653,1
7,3.88365053,1
8,5.733728786,1
9,0.991092915,1
10,1.553780179,1
11,0.743563417,1
12,4.044111049,1
13,2.107429904,1
14,2.273725058,1
15,5.532963417,1
16,3.390023352,1
17,6.472462288,1
18,5.766401454,1
19,4.980308579,1
20,6.644373102,1
21,5.08295603,1
22,6.696328419,1
23,4.443218203,1
24,5.674596766,1
25,2.542065259,1
26,2.951360711,1
27,4.860855384,1
28,4.586546239,1
29,3.356224833,1
30,4.384327876,1
1,1.981170628,2
2,6.697896954,2
3,0.594605724,2
4,2.162534046,2
5,3.484012178,2
6,6.715212349,2
7,3.89977091,2
8,5.717591585,2
9,0.971070307,2
10,1.578641504,2
11,0.767220158,2
12,4.00098542,2
13,2.061142267,2
14,2.335660806,2
15,5.55132997,2
16,3.389455457,2
17,6.535119894,2
18,5.737175146,2
19,4.997409213,2
20,6.644575017,2
21,5.110344058,2
22,6.704202201,2
23,4.477683573,2
24,5.683127949,2
25,2.594851261,2
26,2.941730837,2
27,4.80861836,2
28,4.631131908,2
29,3.349362613,2
30,4.467806087,2
1,2.010181522,3
2,6.651066691,3
3,0.653428648,3
4,2.184815832,3
5,3.401668766,3
6,6.804241397,3
7,3.876481989,3
8,5.769584057,3
9,0.972168957,3
10,1.604637427,3
11,0.743827451,3
12,4.015121364,3
13,2.099073333,3
14,2.377596565,3
15,5.560235923,3
16,3.378491562,3
17,6.535788793,3
18,5.746009146,3
19,5.063387036,3
20,6.656684185,3
21,5.121073233,3
22,6.644745247,3
23,4.410408569,3
24,5.726711846,3
25,2.567506437,3
26,2.953684032,3
27,4.839683969,3
28,4.67029446,3
29,3.398226674,3
30,4.496843452,3
1,2.0631322,4
2,6.63192071,4
3,0.671719403,4
4,2.254429506,4
5,3.427674605,4
6,6.758382826,4
7,3.918456242,4
8,5.722380129,4
9,1.083344253,4
10,1.649549341,4
11,0.785215739,4
12,4.039281684,4
13,2.101316492,4
14,2.35480362,4
15,5.572829183,4
16,3.344552076,4
17,6.464642961,4
18,5.759016049,4
19,4.991463135,4
20,6.643191792,4
21,5.092840449,4
22,6.685346834,4
23,4.445022309,4
24,5.687027168,4
25,2.488895873,4
26,2.902454976,4
27,4.773895016,4
28,4.717638151,4
29,3.409871053,4
30,4.457506117,4
1,2.024622062,5
2,6.600183462,5
3,0.63921459,5
4,2.248083124,5
5,3.364470903,5
6,6.755951621,5
7,3.971756915,5
8,5.719693074,5
9,1.019746304,5
10,1.672875205,5
11,0.829001501,5
12,4.132482972,5
13,2.009032864,5
14,2.389546817,5
15,5.584863895,5
16,3.313890419,5
17,6.441913181,5
18,5.744505488,5
19,5.011392699,5
20,6.620514263,5
21,5.036522704,5
22,6.658986493,5
23,4.447013056,5
24,5.727524544,5
25,2.483082193,5
26,2.849662091,5
27,4.815450001,5
28,4.678193654,5
29,3.393391836,5
30,4.492554769,5
1,2.076118208,6
2,6.557116632,6
3,0.710236171,6
4,2.245337846,6
5,3.379830492,6
6,6.681202958,6
7,3.926840305,6
8,5.713005336,6
9,1.123008333,6
10,1.676766097,6
11,0.884304045,6
12,4.117629222,6
13,2.06164858,6
14,2.367739571,6
15,5.545947439,6
16,3.34549669,6
17,6.508321688,6
18,5.718395418,6
19,4.968782,6
20,6.624341025,6
21,4.992039945,6
22,6.580730037,6
23,4.423064576,6
24,5.650235804,6
25,2.466923696,6
26,2.843793228,6
27,4.752123849,6
28,4.75688241,6
29,3.47580299,6
30,4.521742575,6
1,2.103976301,7
2,6.61290463,7
3,0.651085467,7
4,2.295280535,7
5,3.344644026,7
6,6.628125857,7
7,3.964528373,7
8,5.702722635,7
9,1.141934307,7
10,1.71569828,7
11,0.880125353,7
12,4.131576476,7
13,2.009299847,7
14,2.449426349,7
15,5.571071405,7
16,3.360280059,7
17,6.482914009,7
18,5.729953272,7
19,5.005502731,7
20,6.613121949,7
21,5.042614009,7
22,6.541961494,7
23,4.408689301,7
24,5.704620388,7
25,2.473931982,7
26,2.856049022,7
27,4.673382056,7
28,4.736593354,7
29,3.460316159,7
30,4.545258418,7
1,2.069419966,8
2,6.579092031,8
3,0.727051771,8
4,2.325902304,8
5,3.366820848,8
6,6.671850819,8
7,3.984415087,8
8,5.715401043,8
9,1.143628204,8
10,1.682353775,8
11,0.919662695,8
12,4.115561638,8
13,1.934022909,8
14,2.485702557,8
15,5.521527806,8
16,3.249410899,8
17,6.447890643,8
18,5.758894486,8
19,5.022911979,8
20,6.656803059,8
21,5.036789221,8
22,6.540941668,8
23,4.419718876,8
24,5.713430744,8
25,2.45596444,8
26,2.82248776,8
27,4.699200174,8
28,4.735560972,8
29,3.513415803,8
30,4.577914831,8
1,2.14556949,9
2,6.565672907,9
3,0.710465747,9
4,2.301589717,9
5,3.298372253,9
6,6.649377536,9
7,4.020025149,9
8,5.725286712,9
9,1.15022877,9
10,1.703015187,9
11,0.923663605,9
12,4.189886137,9
13,1.931965255,9
14,2.435869719,9
15,5.59973152,9
16,3.205295621,9
17,6.508567641,9
18,5.715954964,9
19,5.061092439,9
20,6.70522292,9
21,4.987159011,9
22,6.505491809,9
23,4.471842902,9
24,5.700119674,9
25,2.423116835,9
26,2.782175086,9
27,4.635881174,9
28,4.81260831,9
29,3.491803535,9
30,4.536166218,9
1,2.121907497,10
2,6.529920901,10
3,0.719561632,10
4,2.335722307,10
5,3.23702624,10
6,6.604566767,10
7,4.09490021,10
8,5.757154158,10
9,1.162107259,10
10,1.731459389,10
11,0.926654176,10
12,4.231770576,10
13,1.869853176,10
14,2.478532501,10
15,5.544772591,10
16,3.243136384,10
17,6.44093285,10
18,5.71740208,10
19,5.017453582,10
20,6.621345673,10
21,4.916744438,10
22,6.487429946,10
23,4.486609634,10
24,5.692899019,10
25,2.363707656,10
26,2.761927292,10
27,4.576228113,10
28,4.765839637,10
29,3.569710917,10
30,4.624193683,10
1,2.131400324,11
2,6.447153774,11
3,0.735240344,11
4,2.326596086,11
5,3.174838567,11
6,6.506157569,11
7,4.023653671,11
8,5.696011221,11
9,1.210976789,11
10,1.786124273,11
11,0.906724896,11
12,4.247829284,11
13,1.885155322,11
14,2.457701597,11
15,5.579418853,11
16,3.151795203,11
17,6.524835028,11
18,5.688158945,11
19,5.04769071,11
20,6.7044046,11
21,4.922453888,11
22,6.449550025,11
23,4.505201102,11
24,5.688688069,11
25,2.355155691,11
26,2.718723321,11
27,4.616418698,11
28,4.828266564,11
29,3.568331378,11
30,4.578283155,11
1,2.239823799,12
2,6.426813173,12
3,0.817213982,12
4,2.352562492,12
5,3.136857499,12
6,6.52551916,12
7,4.088813596,12
8,5.710805431,12
9,1.173350667,12
10,1.775756071,12
11,0.974231205,12
12,4.247656248,12
13,1.849311174,12
14,2.525043732,12
15,5.508500819,12
16,3.16780481,12
17,6.451680612,12
18,5.770048377,12
19,5.020492742,12
20,6.683114302,12
21,4.831365757,12
22,6.424513928,12
23,4.441017103,12
24,5.718299839,12
25,2.276085273,12
26,2.701420553,12
27,4.520210159,12
28,4.803217485,12
29,3.607917542,12
30,4.638954991,12
1,2.261538529,13
2,6.399810489,13
3,0.801612681,13
4,2.422599423,13
5,3.099683994,13
6,6.482488131,13
7,4.074920045,13
8,5.770657101,13
9,1.211214916,13
10,1.802725124,13
11,0.989940676,13
12,4.212618729,13
13,1.739423498,13
14,2.539448491,13
15,5.526985425,13
16,3.110653581,13
17,6.450546547,13
18,5.687693565,13
19,4.969858479,13
20,6.673528031,13
21,4.798293883,13
22,6.355923709,13
23,4.466318675,13
24,5.71437145,13
25,2.200185006,13
26,2.627309186,13
27,4.527711536,13
28,4.852511773,13
29,3.58279525,13
30,4.694933328,13
1,2.26585514,14
2,6.343010442,14
3,0.860141942,14
4,2.392671552,14
5,3.054960754,14
6,6.424161691,14
7,4.174091311,14
8,5.704446929,14
9,1.246425872,14
10,1.834468047,14
11,1.007889717,14
12,4.23637064,14
13,1.732169617,14
14,2.523653875,14
15,5.555174965,14
16,3.087539055,14
17,6.455382589,14
18,5.743410852,14
19,4.997280805,14
20,6.674305926,14
21,4.746225238,14
22,6.268128765,14
23,4.500095249,14
24,5.644435663,14
25,2.19695292,14
26,2.599279471,14
27,4.429590225,14
28,4.897017747,14
29,3.598771795,14
30,4.677327826,14
1,2.235516862,15
2,6.232971975,15
3,0.814240979,15
4,2.447084136,15
5,3.065117156,15
6,6.385110694,15
7,4.108394087,15
8,5.724019252,15
9,1.245646003,15
10,1.895663456,15
11,1.016661467,15
12,4.250101916,15
13,1.7132096,15
14,2.573456928,15
15,5.594291957,15
16,2.984055887,15
17,6.533841995,15
18,5.719909382,15
19,5.023334928,15
20,6.692450916,15
21,4.69346611,15
22,6.293667096,15
23,4.423084931,15
24,5.717065556,15
25,2.185930337,15
26,2.496481513,15
27,4.370392564,15
28,4.912561701,15
29,3.646988143,15
30,4.66715535,15
1,2.234862777,16
2,6.201160075,16
3,0.859274459,16
4,2.485512504,16
5,2.984046326,16
6,6.340959742,16
7,4.157463917,16
8,5.776220629,16
9,1.267315681,16
10,1.835903138,16
11,1.040588621,16
12,4.290959019,16
13,1.673231895,16
14,2.582700852,16
15,5.559192225,16
16,2.957228644,16
17,6.507132295,16
18,5.719151873,16
19,5.060839374,16
20,6.620470137,16
21,4.674091297,16
22,6.186682918,16
23,4.478145311,16
24,5.673613652,16
25,2.11786806,16
26,2.487297553,16
27,4.396221983,16
28,4.917455769,16
29,3.679511969,16
30,4.77078984,16
1,2.313558949,17
2,6.1147737,17
3,0.901734634,17
4,2.44533565,17
5,2.926015234,17
6,6.263480106,17
7,4.210932396,17
8,5.705247268,17
9,1.277635582,17
10,1.919494886,17
11,1.041207293,17
12,4.298817324,17
13,1.576719474,17
14,2.621513555,17
15,5.599453759,17
16,2.883269235,17
17,6.517952513,17
18,5.746545118,17
19,5.051693014,17
20,6.660253583,17
21,4.595001207,17
22,6.198588302,17
23,4.481878626,17
24,5.657576474,17
25,2.042190856,17
26,2.455450803,17
27,4.280745055,17
28,4.939935107,17
29,3.707937502,17
30,4.781255082,17
1,2.309190975,18
2,6.141113507,18
3,0.946897902,18
4,2.51141926,18
5,2.829003677,18
6,6.154830812,18
7,4.22763942,18
8,5.698028421,18
9,1.321070377,18
10,1.941484737,18
11,1.07973439,18
12,4.331296062,18
