label,mean_intensity,frame,Annotations
1,1.918403669,0,0
2,6.718972417,0,0
3,0.604209967,0,0
4,2.142553771,0,0
5,3.419815141,0,0
6,6.74331341,0,0
7,3.860635974,0,2
8,5.786530884,0,0
9,0.939973203,0,0
10,1.540755403,0,0
11,0.720328768,0,0
12,4.013734155,0,2
13,2.068859951,0,1
14,2.236190322,0,0
15,5.590078572,0,0
16,3.435811036,0,0
17,6.523326301,0,3
18,5.725666173,0,0
19,4.986951655,0,0
20,6.62845145,0,3
21,5.076524581,0,0
22,6.695377087,0,0
23,4.477620155,0,0
24,5.677269133,0,0
25,2.513997631,0,1
26,2.945911637,0,0
27,4.820755959,0,0
28,4.642284967,0,0
29,3.272771473,0,0
30,4.382420124,0,0
1,1.953708828,1,0
2,6.704211683,1,0
3,0.621570871,1,0
4,2.139684332,1,0
5,3.464900273,1,0
6,6.81600653,1,0
7,3.88365053,1,2
8,5.733728786,1,0
9,0.991092915,1,0
10,1.553780179,1,0
11,0.743563417,1,0
12,4.044111049,1,2
13,2.107429904,1,1
14,2.273725058,1,0
15,5.532963417,1,0
16,3.390023352,1,0
17,6.472462288,1,3
18,5.766401454,1,0
19,4.980308579,1,0
20,6.644373102,1,3
21,5.08295603,1,0
22,6.696328419,1,0
23,4.443218203,1,0
24,5.674596766,1,0
25,2.542065259,1,1
26,2.951360711,1,0
27,4.860855384,1,0
28,4.586546239,1,0
29,3.356224833,1,0
30,4.384327876,1,0
1,1.981170628,2,0
2,6.697896954,2,0
3,0.594605724,2,0
4,2.162534046,2,0
5,3.484012178,2,0
6,6.715212349,2,0
7,3.89977091,2,2
8,5.717591585,2,0
9,0.971070307,2,0
10,1.578641504,2,0
11,0.767220158,2,0
12,4.00098542,2,2
13,2.061142267,2,1
14,2.335660806,2,0
15,5.55132997,2,0
16,3.389455457,2,0
17,6.535119894,2,3
18,5.737175146,2,0
19,4.997409213,2,0
20,6.644575017,2,3
21,5.110344058,2,0
22,6.704202201,2,0
23,4.477683573,2,0
24,5.683127949,2,0
25,2.594851261,2,1
26,2.941730837,2,0
27,4.80861836,2,0
28,4.631131908,2,0
29,3.349362613,2,0
30,4.467806087,2,0
1,2.010181522,3,0
2,6.651066691,3,0
3,0.653428648,3,0
4,2.184815832,3,0
5,3.401668766,3,0
6,6.804241397,3,0
7,3.876481989,3,2
8,5.769584057,3,0
9,0.972168957,3,0
10,1.604637427,3,0
11,0.743827451,3,0
12,4.015121364,3,2
13,2.099073333,3,1
14,2.377596565,3,0
15,5.560235923,3,0
16,3.378491562,3,0
17,6.535788793,3,3
18,5.746009146,3,0
19,5.063387036,3,0
20,6.656684185,3,3
21,5.121073233,3,0
22,6.644745247,3,0
23,4.410408569,3,0
24,5.726711846,3,0
25,2.567506437,3,1
26,2.953684032,3,0
27,4.839683969,3,0
28,4.67029446,3,0
29,3.398226674,3,0
30,4.496843452,3,0
1,2.0631322,4,0
2,6.63192071,4,0
3,0.671719403,4,0
4,2.254429506,4,0
5,3.427674605,4,0
6,6.758382826,4,0
7,3.918456242,4,2
8,5.722380129,4,0
9,1.083344253,4,0
10,1.649549341,4,0
11,0.785215739,4,0
12,4.039281684,4,2
13,2.101316492,4,1
14,2.35480362,4,0
15,5.572829183,4,0
16,3.344552076,4,0
17,6.464642961,4,3
18,5.759016049,4,0
19,4.991463135,4,0
20,6.643191792,4,3
21,5.092840449,4,0
22,6.685346834,4,0
23,4.445022309,4,0
24,5.687027168,4,0
25,2.488895873,4,1
26,2.902454976,4,0
27,4.773895016,4,0
28,4.717638151,4,0
29,3.409871053,4,0
30,4.457506117,4,0
1,2.024622062,5,0
2,6.600183462,5,0
3,0.63921459,5,0
4,2.248083124,5,0
5,3.364470903,5,0
6,6.755951621,5,0
7,3.971756915,5,2
8,5.719693074,5,0
9,1.019746304,5,0
10,1.672875205,5,0
11,0.829001501,5,0
