,label,mean_intensity,frame,Annotations
0,1,1.7620313155343572,0,0
1,2,5.108556880793218,0,0
2,3,2.005329115209073,0,0
3,4,5.9659801730001965,0,0
4,5,4.262265094437263,0,0
5,6,5.117888473340948,0,0
6,7,4.598632048103332,0,0
7,8,1.3988492598517477,0,0
8,9,3.8375291981442143,0,0
9,10,3.782725411930925,0,0
10,11,0.6132156014723533,0,0
11,12,2.6025251719401985,0,0
12,13,1.5099679312563583,0,0
13,14,2.7527591491740617,0,0
14,15,1.2898839605137196,0,0
15,16,4.993608933361545,0,0
16,17,1.237667654516355,0,0
17,18,0.7257202629267786,0,0
18,19,2.118843626115506,0,0
19,20,3.9686083431596932,0,0
20,21,3.8200297453507646,0,0
21,22,1.1589387914587497,0,0
22,23,3.1520619696789036,0,0
23,24,0.8348592873263381,0,0
24,25,4.012302036167922,0,0
25,26,4.689376901821366,0,0
26,27,0.44901526431135064,0,0
27,28,2.321331388380411,0,0
28,29,3.0282768725999047,0,0
29,30,4.572346802161023,0,0
30,1,1.7501447517192321,1,0
31,2,4.963044670137008,1,0
32,3,1.994931693033793,1,0
33,4,5.963396452451931,1,0
34,5,4.286211393311638,1,0
35,6,5.222196475574827,1,0
36,7,4.6102169395171755,1,0
37,8,1.418792091141113,1,0
38,9,3.851862527237987,1,0
39,10,3.8031028393309847,1,0
40,11,0.6261652834696602,1,0
41,12,2.5141207023587957,1,0
42,13,1.4816300974477652,1,0
43,14,2.8192509457011172,1,0
44,15,1.3579546484647003,1,0
45,16,5.015638623490059,1,0
46,17,1.2458111198442858,1,0
47,18,0.7610243916193864,1,0
48,19,2.0708122613901576,1,0
49,20,3.9409500955005714,1,0
50,21,3.8043815707863695,1,0
51,22,1.1815468979899149,1,0
52,23,3.1418984929201703,1,0
53,24,0.8043573529041803,1,0
54,25,4.0210502844647475,1,0
55,26,4.751000889038799,1,0
56,27,0.41261223606401415,1,0
57,28,2.392494933552257,1,0
58,29,3.045617160762225,1,0
59,30,4.572022195450075,1,0
60,1,1.7795166054204588,2,0
61,2,4.893253954938026,2,0
62,3,2.009187077166866,2,0
63,4,5.986702225941043,2,0
64,5,4.194477436545619,2,0
65,6,5.451525414853224,2,0
66,7,4.63246640696887,2,0
67,8,1.4242275462144298,2,0
68,9,3.8365217394731834,2,0
69,10,3.837337414072097,2,0
70,11,0.573429010532034,2,0
71,12,2.534689605565506,2,0
72,13,1.535216468895977,2,0
73,14,2.8086548408305245,2,0
74,15,1.5048598508291784,2,0
75,16,5.024191759474184,2,0
76,17,1.1245017455570676,2,0
77,18,0.7062330657993997,2,0
78,19,2.0931559948378085,2,0
79,20,3.99429124994539,2,0
80,21,3.774103721987406,2,0
81,22,1.2145532442657019,2,0
82,23,3.0467720888604655,2,0
83,24,0.8557204458494153,2,0
84,25,3.986687693155377,2,0
85,26,4.73636307937322,2,0
86,27,0.3693294824354529,2,0
87,28,2.3764295055952056,2,0
88,29,3.040291692638429,2,0
89,30,4.577127499118266,2,0
90,1,1.7625925315667261,3,0
91,2,4.6786317349546485,3,0
92,3,2.0180088205681352,3,0
93,4,6.036278433517103,3,0
94,5,4.264986905531992,3,0
95,6,5.643438084227939,3,0
96,7,4.618957166960126,3,0
97,8,1.3743245313789363,3,0
98,9,3.787427408582505,3,0
99,10,3.7983416890120902,3,0
100,11,0.5982092005534986,3,0
101,12,2.5682054709520568,3,0
102,13,1.4417629726112975,3,0
103,14,2.796645780910247,3,0
104,15,1.772872780054313,3,0
105,16,5.022599144900144,3,0
106,17,1.1034661896035414,3,0
107,18,0.747837766733234,3,0
108,19,2.0844238011567104,3,0
109,20,4.01892648133443,3,0
110,21,3.8297361979539004,3,0
111,22,1.1995109270823574,3,0
112,23,3.0244292913110504,3,0
113,24,0.8342823979225522,3,0
114,25,4.011526145505654,3,0
115,26,4.754339884694558,3,0
116,27,0.4188899669362649,3,0
117,28,2.3933746583604427,3,0
118,29,3.017543851803565,3,0
119,30,4.497413761785684,3,0
120,1,1.7730542698627185,4,0
121,2,4.621063854504002,4,0
122,3,2.0226441959317767,4,0
123,4,5.956324566355887,4,0
124,5,4.224520932338726,4,0
125,6,5.742124426667437,4,0
126,7,4.599343621509887,4,0
127,8,1.4566357480551633,4,0
128,9,3.8347995505760006,4,0
129,10,4.787625865290806,4,0
130,11,0.5781599442648732,4,0
131,12,2.5393837162953137,4,0
132,13,1.4717900009989633,4,0
133,14,2.7322078167879087,4,0
